sentence,word,word2,sent_id,item_id,list
The first knife caught in her skirt and she shook it,free.,FREE,172,1318,1
Underneath the table her hand was gripping the,chair.,CHAIR,109,687,1
Charles felt sick to the,pit,PIT,101,620,1
Scott got up and,washed,WASHED,43,211,1
Hes got the,ability,ABILITY,184,1448,1
Jacques sighed and tried,to,TO,124,814,1
Walter closed,the,THE,70,382,1
Why dont you tell me what,happened,HAPPENED,177,1368,1
His helmet was lost but he could still do,some,SOME,135,924,1
If this were a movie instead of,a,A,204,1705,2
Jack walked up to the,door.,DOOR,26,118,2
Normally they want to,cut,CUT,50,253,2
Andy felt,good,GOOD,188,1495,2
Sam felt proud,when,WHEN,42,204,2
Andrew closed,the,THE,100,609,2
He was built with muscle and liked to throw,his,HIS,158,1162,2
There were choked screams,and,AND,80,454,2
He,lay,LAY,90,528,2
Lawrence rubbed the back of,his,HIS,137,940,2
I mostly just pick a dry white and drink it to get,drunk.,DRUNK,187,1493,2
Alice,is,IS,34,154,2
He is after glory and heads for,his,HIS,88,518,2
All the,bowls,BOWLS,112,705,2
Edward washed his hands and flicked water at,Bob.,BOB,106,663,2
Theyre riding out to meet,them.,THEM,31,143,2
Now the man is coming who will give it,back,BACK,170,1294,2
I was thinking of getting,the,THE,94,564,2
The,dead,DEAD,55,280,2
She saw the throwing knife in his,hand.,HAND,75,422,2
Dont die of cold before you,die,DIE,85,493,2
The bored looking soldier just,pointed.,POINTED,29,133,2
He drove his truck,home,HOME,132,889,2
Tommy came out of the staff room,toilet,TOILET,167,1259,2
Michael,gave,GAVE,7,25,2
Arthur placed the,bars,BARS,96,578,2
His helmet was lost but he could still do some,damage.,DAMAGE,135,925,2
Jack walked up to,the,THE,26,117,2
Harry,smiled,SMILED,17,69,2
You,know,KNOW,147,1036,2
James was only in the cell for an hour but it felt like a,week.,WEEK,205,1726,2
"Anthony was approached, just as",he,HE,129,860,2
Scott got up,and,AND,43,210,2
He called over his,shoulder.,SHOULDER,3,12,2
Jake smiled again at,his,HIS,117,752,2
Jake smiled again at his,baby,BABY,117,753,2
Lewis sat down and Lucy laid her hand on,his,HIS,138,954,2
Things,were,WERE,9,33,2
Brian sniffed and wiped his,grubby,GRUBBY,119,770,2
Dont die of cold before you die,in,IN,85,494,2
The shout caught him off guard and he fell back,a,A,193,1563,2
There will be men,to,TO,81,461,2
I flung,out,OUT,186,1471,2
A tube,train,TRAIN,14,55,2
You shouldnt have been,racing,RACING,149,1059,2
He smiled again,and,AND,183,1436,2
He just,wished,WISHED,89,521,2
Underneath the table,her,HER,109,682,2
One by one she placed her teeth,about,ABOUT,192,1548,2
She threatened,to,TO,171,1298,2
In the morning at,breakfast,BREAKFAST,162,1201,2
"The gate was double, one huge mass of wood",following,FOLLOWING,143,1004,2
He smiled when she let,out,OUT,92,548,2
Underneath,the,THE,109,680,2
Anthony,was,WAS,129,856,2
You know better than,to,TO,147,1039,2
James walked in to wake Samuel at four thirty,in,IN,165,1239,2
He called over,his,HIS,3,11,2
Brian sniffed,and,AND,119,767,2
Simon,nodded,NODDED,44,214,2
Ill break your,neck,NECK,115,733,2
All last week there was a white,van,VAN,151,1083,2
Matthew stood against the wall with his,hands,HANDS,139,962,2
He,needed,NEEDED,18,74,2
The last thing Alex felt like doing after,work,WORK,173,1326,2
"I am trying, old","man,","MAN,",159,1168,2
They were definitely holding hands underneath the,table.,TABLE,82,471,2
I am,touched,TOUCHED,22,95,2
He,just,JUST,89,520,2
She saw the,throwing,THROWING,75,418,2
The last thing Alex felt like doing,after,AFTER,173,1325,2
Ill break,your,YOUR,115,732,2
Michael knew,they,THEY,168,1265,2
A,horse,HORSE,13,49,2
It is not the most fragrant of places but,we,WE,164,1228,2
Walter closed the door and,took,TOOK,70,385,2
Matthew stood against the wall,with,WITH,139,960,2
Tommy came out,of,OF,167,1255,2
If I have time at,the,THE,196,1596,2
Five will be listening,for,FOR,15,62,2
He put his hands in his pockets,and,AND,157,1149,2
His,dark,DARK,113,713,2
I flung out my hands and they,said,SAID,186,1476,2
The first knife caught in her skirt and she shook,it,IT,172,1317,2
The dead must not,kill,KILL,55,283,2
Joseph walked into,the,THE,126,831,2
Tommy came out of the staff,room,ROOM,167,1258,2
He sighed,and,AND,91,537,2
Weve been travelling,almost,ALMOST,33,151,2
Andrew nodded and stood against,the,THE,40,194,2
Alec stood against the wall to,steady,STEADY,72,400,2
You know that I will,do,DO,148,1050,2
Bruce is looking for someone,to,TO,179,1390,2
Let us give,battle,BATTLE,166,1244,2
He,was,WAS,202,1671,2
Let me through and youll hear nothing more of,it.,IT,121,792,2
Dave kicked him in the,stomach,STOMACH,103,636,2
If this were a movie instead of a book,this,THIS,204,1707,2
Andrew nodded and stood against the,counter.,COUNTER,40,195,2
He was already up,and,AND,202,1674,2
Jake smiled again at his baby,"daughter,","DAUGHTER,",117,754,2
Bob sat at the,entrance,ENTRANCE,190,1521,2
Jamie took a cigarette and Andy gave,him,HIM,125,826,2
I am touched,deeply,DEEPLY,22,96,2
"None",of,OF,74,409,2
He let Donald go and,he,HE,182,1426,2
It is not,the,THE,164,1222,2
"The gate was double, one huge mass of",wood,WOOD,143,1003,2
Men could be paid to do,all,ALL,122,798,2
I think our friends,demands,DEMANDS,68,370,2
Tony stopped off,at,AT,49,246,2
The police officer got out of the van and,picked,PICKED,198,1626,2
Tommy came out of the staff room toilet looking a,little,LITTLE,167,1262,2
The speaker turned,to,TO,199,1633,2
She just kept telling herself he had to,learn,LEARN,141,983,2
Albert spoke before Barbara had a chance,to.,TO,60,317,2
Dave kicked,him,HIM,103,633,2
Matthew stood against the wall with his hands behind,his,HIS,139,964,2
Whether Peter heard him,or,OR,110,691,2
All the bowls,from,FROM,112,706,2
One by one she placed her teeth about,their,THEIR,192,1549,2
Billy knocked on the door,and,AND,189,1510,2
They say he can,breathe,BREATHE,200,1647,2
Alan told Jason he would just,sit,SIT,169,1280,2
Dave kicked him in,the,THE,103,635,2
He rose from his,seat,SEAT,194,1569,2
Emma put her mug of tea,down,DOWN,178,1379,2
Lewis sat down and Lucy laid her,hand,HAND,138,952,2
Arthur placed the bars of,chocolate,CHOCOLATE,96,580,2
Charles felt sick,to,TO,101,618,2
Dave kicked him,in,IN,103,634,2
The bored looking soldier,just,JUST,29,132,2
He knocked on the door so hard that he almost,broke,BROKE,181,1419,2
Ted,smiled,SMILED,46,226,2
Now the man,is,IS,170,1288,2
"While they sat drinking their tea, Mick dug",them,THEM,146,1033,2
I dont want,to,TO,23,101,2
Hes got the ability to work but he just gets bored,too,TOO,184,1456,2
He was,leaning,LEANING,93,553,2
Lets,get,GET,98,592,2
Steve sat down to eat his,lunch.,LUNCH,45,225,2
Gilbert sat as still as he could nursing his,lip.,LIP,123,810,2
The prison guard,walked,WALKED,56,288,2
He probably doesnt want people,to,TO,37,176,2
He rose from his seat and stopped mid way when,Joe,JOE,194,1575,2
All,last,LAST,151,1077,2
Let us give battle to these foreign,snakes,SNAKES,166,1248,2
He heaved his shoulders and swung the,axe,AXE,87,510,2
She had,refused,REFUSED,52,263,2
Albert spoke before Barbara had a,chance,CHANCE,60,316,2
Phil let him go and Charlie fell,to,TO,120,781,2
Andy felt good when he got ready to,go,GO,188,1501,2
He heaved his shoulders,and,AND,87,507,2
The last thing,Alex,ALEX,173,1321,2
He probably doesnt want,people,PEOPLE,37,175,2
Bob,sat,SAT,190,1518,2
She hid the boxes,and,AND,53,271,2
Phil,let,LET,120,775,2
Lewis sat down and Lucy laid her hand on his,cheek.,CHEEK,138,955,2
You shouldnt have,been,BEEN,149,1058,2
Albert spoke before Barbara had,a,A,60,315,2
They were,definitely,DEFINITELY,82,466,2
In,the,THE,162,1198,2
He let Donald go and he fell to the floor with a,thud.,THUD,182,1433,2
If this,were,WERE,204,1700,2
I do not spare,the,THE,67,363,2
The shout caught him off guard and he fell back a little,way.,WAY,193,1565,2
I mostly just pick,a,A,187,1485,2
He was already,up,UP,202,1673,2
Emma put her,mug,MUG,178,1376,2
Despite what Frank had told her Ellen,thanked,THANKED,130,872,2
Weve been travelling almost three,days.,DAYS,33,153,2
From the moment we leave this spot be very careful what,you,YOU,180,1408,2
Ross,sat,SAT,27,119,2
Harry smiled at,his,HIS,17,71,2
Let,me,ME,121,784,2
It is a,narrow,NARROW,95,570,2
Ted smiled and,bit,BIT,46,228,2
Let me through and youll hear nothing more,of,OF,121,791,2
Walter closed the door and took a,breath.,BREATH,70,387,2
Anne lost,control,CONTROL,1,2,2
Dexter,opened,OPENED,104,640,2
All last week there was a white van parked across,the,THE,151,1086,2
He drove his,truck,TRUCK,132,888,2
His dark hair,was,WAS,113,715,2
He went to the door,and,AND,134,910,2
The first knife caught in her skirt and,she,SHE,172,1315,2
You know that I will do whatever you ask of,me.,ME,148,1055,2
The shout caught him off guard,and,AND,193,1559,2
Ted smiled and bit his,bottom,BOTTOM,46,230,2
If I,have,HAVE,196,1593,2
He lay,his,HIS,90,529,2
I,am,AM,22,94,2
Now the man is coming who will,give,GIVE,170,1292,2
Lawrence rubbed,the,THE,137,937,2
Tom stood up and,wiped,WIPED,48,241,2
He drank too much at times and washed too little,at,AT,154,1119,2
William sat down and tucked,into,INTO,71,392,2
The truck was an,older,OLDER,174,1333,2
You give me a,lead,LEAD,111,699,2
A tube train took his,legs.,LEGS,14,58,2
Billy knocked on the door and waited till,he,HE,189,1513,2
Roger smiled,and,AND,8,30,2
The shout caught him off guard and he fell,back,BACK,193,1562,2
We should talk,about,ABOUT,176,1354,2
He staggered into the,chair,CHAIR,66,356,2
Helen ran,to,TO,5,18,2
The shout,caught,CAUGHT,193,1555,2
Youll demand nothing,of,OF,12,47,2
They stared at the black wall and now this offered no,comfort.,COMFORT,175,1351,2
Run along home now,and,AND,140,969,2
Claudia still teaches and,still,STILL,83,475,2
Ill break your neck if,you,YOU,115,735,2
Roger smiled and,sat,SAT,8,31,2
He,held,HELD,133,896,2
Walter closed the door and took,a,A,70,386,2
He lay his sword aside and extended his,hands.,HANDS,90,535,3
He had another shock when they told him,he,HE,156,1139,3
Brian sat down at an empty table and began to eat,his,HIS,191,1540,3
It had been two weeks since Philip,had,HAD,163,1215,3
The van,is,IS,57,293,3
I know,Richard,RICHARD,203,1686,3
Have a carriage,sent,SENT,36,168,3
He folded his arms across his chest and put,out,OUT,155,1129,3
I cannot tell you,more.,MORE,6,24,3
Brian sat down,at,AT,191,1532,3
It had been,two,TWO,163,1211,3
You give,me,ME,111,697,3
He rose from his seat and,stopped,STOPPED,194,1571,3
A smile came to his lips as he thought of,an,AN,150,1075,3
The gathered villagers took a,step,STEP,144,1010,3
Thomas stepped,back,BACK,47,233,3
I cant see any amount of talk getting you,out,OUT,185,1466,3
Why dont you tell me what happened on,"Saturday,","SATURDAY,",177,1370,3
Ian gave,Geoffrey,GEOFFREY,116,741,3
Jack walked up,to,TO,26,116,3
He didnt seem to mind that she was,screaming,SCREAMING,153,1106,3
From the moment we leave this spot,be,BE,180,1404,3
He had another,shock,SHOCK,156,1134,3
He called,over,OVER,3,10,3
All last week there was a white van parked across the,street.,STREET,151,1087,3
Billy knocked on the,door,DOOR,189,1509,3
Lets have the gates closed,and,AND,99,604,3
Charles felt,sick,SICK,101,617,3
He went to the door and walked out,of,OF,134,913,3
Turn your,hearing,HEARING,11,42,3
Burn,him,HIM,84,480,3
He held his mother tight,and,AND,133,900,3
They say,he,HE,200,1645,3
Thomas stepped back and shook his,head.,HEAD,47,237,3
Alice is looking for somewhere,to,TO,34,158,3
Jack walked,up,UP,26,115,3
I do,not,NOT,67,361,3
Ken just,hoped,HOPED,136,927,3
She threatened to leave before and this time,she,SHE,171,1304,3
They stared at the black,wall,WALL,175,1345,3
Bob sat at the entrance to the warehouse and,made,MADE,190,1526,3
No-one else had dared step within,the,THE,73,407,3
Dexter opened his letter and found,a,A,104,645,3
Andrew nodded and,stood,STOOD,40,192,3
The speaker turned to,her,HER,199,1634,3
Thomas stepped back and shook,his,HIS,47,236,3
Andy felt good when he got ready,to,TO,188,1500,3
He needed,putting,PUTTING,18,75,3
Hes got the ability to work but he,just,JUST,184,1453,3
Hes,got,GOT,184,1446,3
The,bored,BORED,54,274,3
Dexter opened his letter and,found,FOUND,104,644,3
Whether Peter heard him or not Gabriel didnt,care.,CARE,110,695,3
Powerful,in,IN,51,256,3
The first knife,caught,CAUGHT,172,1310,3
He uses his belt on,you.,YOU,20,88,3
She hid the boxes and,matches,MATCHES,53,272,3
I mostly just,pick,PICK,187,1484,3
Why dont you,tell,TELL,177,1365,3
His helmet was lost,but,BUT,135,919,3
He staggered into the chair at his,desk.,DESK,66,359,3
Things were,looking,LOOKING,9,34,3
Alan told,Jason,JASON,169,1276,3
He was built with muscle and liked to,throw,THROW,158,1161,3
Ill break your neck if you dont,fix,FIX,115,737,3
There were choked screams and shouts of,dismay.,DISMAY,80,457,3
Anne lost control and,laughed.,LAUGHED,1,4,3
Tell me,what,WHAT,78,438,3
Phil let him go and Charlie,fell,FELL,120,780,3
I know Richard drinks a little,too,TOO,203,1690,3
William sat down,and,AND,71,390,3
The shout caught him off guard and he,fell,FELL,193,1561,3
He smiled again and felt like a man and,not,NOT,183,1442,3
He put the fork,on,ON,38,181,3
"Why dont you tell me what happened on Saturday, step",by,BY,177,1372,3
He called out but,she,SHE,63,335,3
No-one else had,dared,DARED,73,404,3
The first knife caught in her skirt,and,AND,172,1314,3
I am touched deeply in,places.,PLACES,22,98,3
Henry washed his hands and sat on the seat in front of,the,THE,197,1616,3
He went,to,TO,134,907,3
After lunch,he,HE,59,305,3
You give me a lead and Ill,follow,FOLLOW,111,702,3
I knew I,heard,HEARD,24,106,3
The first knife caught in her skirt and she,shook,SHOOK,172,1316,3
She would soon,be,BE,127,840,3
The,brothers,BROTHERS,128,847,3
He was built with muscle and,liked,LIKED,158,1159,3
Shut your smart foul mouth and sit,down.,DOWN,77,436,3
Tom stood up and wiped his,jeans.,JEANS,48,243,3
Gilbert,sat,SAT,123,802,3
Jamie took a,cigarette,CIGARETTE,125,822,3
Claudia still teaches and still,claims,CLAIMS,83,476,3
They say he,can,CAN,200,1646,3
She,turned,TURNED,107,664,3
Jake smiled again,at,AT,117,751,3
Youre getting up early,in,IN,58,301,3
He lay his sword aside and extended,his,HIS,90,534,3
He drove his truck home and walked down to,the,THE,132,894,3
A smile came,to,TO,150,1068,3
Phil let him go and Charlie fell to the,ground.,GROUND,120,783,3
She saw the throwing knife,in,IN,75,420,3
Ill give him more than a,slap.,SLAP,39,189,3
Why dont,you,YOU,177,1364,3
The campaign,will,WILL,30,135,3
While they,sat,SAT,146,1027,3
Simon nodded,and,AND,44,215,3
Bob sat at the entrance to the,warehouse,WAREHOUSE,190,1524,3
"Powerful in the wrong hands, is",that.,THAT,51,261,3
Arthur placed the bars,of,OF,96,579,3
Steve sat down to eat,his,HIS,45,224,3
I shall have a victory and I want it to,be,BE,160,1185,3
Lewis sat down and Lucy laid,her,HER,138,951,3
Tony stopped off at his,first,FIRST,49,248,3
His helmet was lost but he could,still,STILL,135,922,3
I flung out my hands and,they,THEY,186,1475,3
A horse has,thrown,THROWN,13,51,3
From the moment we leave this spot be very,careful,CAREFUL,180,1406,3
He let,Donald,DONALD,182,1423,3
Ill break your neck if you dont fix,that,THAT,115,738,3
Michael gave Adam,two,TWO,7,27,3
Finally Maria sat down with,a,A,152,1092,3
I shall have a victory and I want,it,IT,160,1183,3
She turned and saw him standing in,her,HER,107,670,3
His helmet,was,WAS,135,917,3
He lay his,sword,SWORD,90,530,3
We shall arrive,properly,PROPERLY,145,1018,3
Ill,break,BREAK,115,731,3
Bob sat,at,AT,190,1519,3
Billy knocked,on,ON,189,1507,3
He rose from,his,HIS,194,1568,3
Jamie took,a,A,125,821,3
We should talk about the things people talk about on,first,FIRST,176,1361,3
He needed putting,in,IN,18,76,3
All the bowls from the,empty,EMPTY,112,708,3
There were choked screams and shouts,of,OF,80,456,3
He stayed against the,wall.,WALL,4,16,3
He sighed and walked,back,BACK,91,539,3
If I have time at the end Ill fill you in on,what,WHAT,196,1603,3
Lets have,the,THE,99,601,3
Have a,carriage,CARRIAGE,36,167,3
She had refused to leave,her,HER,52,266,3
Charles felt sick to the pit of his,stomach.,STOMACH,101,623,3
You know that I will do whatever you ask,of,OF,148,1054,3
I,shall,SHALL,160,1176,3
He went to the door and walked,out,OUT,134,912,3
He was already up and dressed and invited us,in,IN,202,1679,3
Emma put,her,HER,178,1375,3
Claudia still teaches and still claims,to,TO,83,477,3
The shout caught him off guard and he fell back a,little,LITTLE,193,1564,3
Duncan took a breath,and,AND,105,651,3
It is a narrow,"ship,","SHIP,",95,571,3
Turn,your,YOUR,11,41,3
Dexter opened,his,HIS,104,641,3
I think our,friends,FRIENDS,68,369,3
A smile,came,CAME,150,1067,3
I flung out my hands and they said I had broken,my,MY,186,1480,3
It is not the most fragrant,of,OF,164,1225,3
"I am trying, old man, but",I,I,159,1170,3
They,say,SAY,200,1644,3
Tommy came out of,the,THE,167,1256,3
The campaign will,pay,PAY,30,136,3
The door was opened and Alexander walked,out.,OUT,79,450,3
Jamie took a cigarette and Andy gave him,a,A,125,827,3
"Good God, if you",are,ARE,86,499,3
A smile came to his lips as he thought,of,OF,150,1074,3
In the morning at breakfast Mike smiled at the,letter,LETTER,162,1206,3
I wouldnt want,to,TO,25,111,3
Alec,stood,STOOD,72,395,3
Ken,just,JUST,136,926,3
A,tube,TUBE,14,54,3
Jamie took a cigarette,and,AND,125,823,3
The bored looking,soldier,SOLDIER,54,276,3
She,threatened,THREATENED,171,1297,3
The speaker turned to her with,a,A,199,1636,3
Henry washed his hands and,sat,SAT,197,1609,3
He didnt seem to,mind,MIND,153,1102,3
Finally Maria sat down with a cup of tea and,a,A,152,1097,3
"She was smiling in the dark, teeth",flashing.,FLASHING,76,429,3
A smile came to his lips as,he,HE,150,1072,3
Finally Maria sat,down,DOWN,152,1090,3
I know Richard drinks,a,A,203,1688,3
He smiled when she,let,LET,92,547,3
None of the city people,dress,DRESS,74,413,3
He let Donald go and he fell,to,TO,182,1428,3
The brothers stood up and came down from the,platform.,PLATFORM,128,855,3
Now the man is coming,who,WHO,170,1290,3
Hes broken his wrists very,badly.,BADLY,21,93,3
In the morning Mickey,stood,STOOD,161,1190,3
I flung out my hands and they said I,had,HAD,186,1478,3
The truck was,an,AN,174,1332,3
I cant see any,amount,AMOUNT,185,1461,3
She,just,JUST,141,976,3
The bored looking,soldier,SOLDIER,29,131,3
